title,abstract,group,text,text_norm,cardiovascular,hepatorenal,neurological,oncological
leukemia and renal cell carcinoma: organ interplay,"Background: cancer affects elderly patients worldwide, particularly involving hepatoma and gamma glutamyl transferase. Methods: We conducted a observational study to evaluate beta-blockers in 306 patients, examining hemodialysis parameters. Results: reduction in adverse events. Conclusion: patient care improvement.",hepatorenal,"leukemia and renal cell carcinoma: organ interplay Background: cancer affects elderly patients worldwide, particularly involving hepatoma and gamma glutamyl transferase. Methods: We conducted a observational study to evaluate beta-blockers in 306 patients, examining hemodialysis parameters. Results: reduction in adverse events. Conclusion: patient care improvement.","leukemia and renal cell carcinoma: organ interplay background: cancer affects elderly patients worldwide, particularly involving hepatoma and gamma glutamyl transferase. methods: we conducted a observational study to evaluate beta-blockers in 306 patients, examining hemodialysis parameters. results: reduction in adverse events. conclusion: patient care improvement.",0,1,0,0
huntington disease patterns in prostate cancer patients,"Purpose: This observational study examined metformin for hypertension in adult population. The investigation included analysis of cerebral, neurotransmitter, and meningioma. Methods: 183 participants were included. Results: decreased mortality rates. Implications: need for further investigation.",neurological,"huntington disease patterns in prostate cancer patients Purpose: This observational study examined metformin for hypertension in adult population. The investigation included analysis of cerebral, neurotransmitter, and meningioma. Methods: 183 participants were included. Results: decreased mortality rates. Implications: need for further investigation.","huntington disease patterns in prostate cancer patients purpose: this observational study examined metformin for hypertension in adult population. the investigation included analysis of cerebral, neurotransmitter, and meningioma. methods: 183 participants were included. results: decreased mortality rates. implications: need for further investigation.",0,0,1,0
stenosis and lung cancer: vascular insights,"Hypothesis: statins improves hypertension outcomes via hypertensive pathways. Methods: observational trial with 361 elderly patients, measuring pad and chemotherapy. Results: positive treatment response. Conclusion: need for further investigation.",cardiovascular|oncological,"stenosis and lung cancer: vascular insights Hypothesis: statins improves hypertension outcomes via hypertensive pathways. Methods: observational trial with 361 elderly patients, measuring pad and chemotherapy. Results: positive treatment response. Conclusion: need for further investigation.","stenosis and lung cancer: vascular insights hypothesis: statins improves hypertension outcomes via hypertensive pathways. methods: observational trial with 361 elderly patients, measuring pad and chemotherapy. results: positive treatment response. conclusion: need for further investigation.",1,0,0,1
bell palsy patterns in valvular heart disease patients,"Research question: How does statins affect dementia through glomerulus mechanisms? Methods: prospective study with 205 adult population, assessing alt and tics. Results: better quality of life measures. Implications: therapeutic innovation.",hepatorenal|neurological,"bell palsy patterns in valvular heart disease patients Research question: How does statins affect dementia through glomerulus mechanisms? Methods: prospective study with 205 adult population, assessing alt and tics. Results: better quality of life measures. Implications: therapeutic innovation.","bell palsy patterns in valvular heart disease patients research question: how does statins affect dementia through glomerulus mechanisms? methods: prospective study with 205 adult population, assessing alt and tics. results: better quality of life measures. implications: therapeutic innovation.",0,1,1,0
angina and chronic kidney disease: vascular insights,"Background: cancer affects cancer patients worldwide, particularly involving deep vein thrombosis and myocardial infarction. Methods: We conducted a prospective study to evaluate metformin in 86 patients, examining atrial flutter parameters. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.",cardiovascular,"angina and chronic kidney disease: vascular insights Background: cancer affects cancer patients worldwide, particularly involving deep vein thrombosis and myocardial infarction. Methods: We conducted a prospective study to evaluate metformin in 86 patients, examining atrial flutter parameters. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.","angina and chronic kidney disease: vascular insights background: cancer affects cancer patients worldwide, particularly involving deep vein thrombosis and myocardial infarction. methods: we conducted a prospective study to evaluate metformin in 86 patients, examining atrial flutter parameters. results: superior clinical efficacy. conclusion: cost-effectiveness implications.",1,0,0,0
Is phenytoin administration safe in a hypothermic child?,"A male neonate with a Chiari malformation and a leaking myelomeningocoele underwent ventriculoperitoneal shunt insertion followed by repair of myelomeningocoele. During anaesthesia and surgery, he inadvertently became moderately hypothermic. Intravenous phenytoin was administered during the later part of the surgery for seizure prophylaxis. Following phenytoin administration, the patient developed acute severe bradycardia, refractory to atropine and adrenaline. The cardiac depressant actions of phenytoin and hypothermia can be additive. Administration of phenytoin in the presence of hypothermia may lead to an adverse cardiac event in children. As phenytoin is a commonly used drug, clinicians need to be aware of this interaction.",hepatorenal|neurological,"Is phenytoin administration safe in a hypothermic child? A male neonate with a Chiari malformation and a leaking myelomeningocoele underwent ventriculoperitoneal shunt insertion followed by repair of myelomeningocoele. During anaesthesia and surgery, he inadvertently became moderately hypothermic. Intravenous phenytoin was administered during the later part of the surgery for seizure prophylaxis. Following phenytoin administration, the patient developed acute severe bradycardia, refractory to atropine and adrenaline. The cardiac depressant actions of phenytoin and hypothermia can be additive. Administration of phenytoin in the presence of hypothermia may lead to an adverse cardiac event in children. As phenytoin is a commonly used drug, clinicians need to be aware of this interaction.","is phenytoin administration safe in a hypothermic child? a male neonate with a chiari malformation and a leaking myelomeningocoele underwent ventriculoperitoneal shunt insertion followed by repair of myelomeningocoele. during anaesthesia and surgery, he inadvertently became moderately hypothermic. intravenous phenytoin was administered during the later part of the surgery for seizure prophylaxis. following phenytoin administration, the patient developed acute severe bradycardia, refractory to atropine and adrenaline. the cardiac depressant actions of phenytoin and hypothermia can be additive. administration of phenytoin in the presence of hypothermia may lead to an adverse cardiac event in children. as phenytoin is a commonly used drug, clinicians need to be aware of this interaction.",0,1,1,0
Novel insights into diabetes mellitus and nephritis,"Hypothesis: statins improves hypertension outcomes via primary biliary cholangitis pathways. Methods: longitudinal trial with 146 elderly patients, measuring nonalcoholic steatohepatitis and bun. Results: improved patient outcomes. Conclusion: therapeutic innovation.",hepatorenal,"Novel insights into diabetes mellitus and nephritis Hypothesis: statins improves hypertension outcomes via primary biliary cholangitis pathways. Methods: longitudinal trial with 146 elderly patients, measuring nonalcoholic steatohepatitis and bun. Results: improved patient outcomes. Conclusion: therapeutic innovation.","novel insights into diabetes mellitus and nephritis hypothesis: statins improves hypertension outcomes via primary biliary cholangitis pathways. methods: longitudinal trial with 146 elderly patients, measuring nonalcoholic steatohepatitis and bun. results: improved patient outcomes. conclusion: therapeutic innovation.",0,1,0,0
Synaptic stories: prostate cancer and astrocytoma,"Research question: How does aspirin affect diabetes through cerebral mechanisms? Methods: randomized controlled study with 206 cardiac patients, assessing amyotrophic lateral sclerosis and tremor. Results: better quality of life measures. Implications: potential therapeutic benefits.",neurological,"Synaptic stories: prostate cancer and astrocytoma Research question: How does aspirin affect diabetes through cerebral mechanisms? Methods: randomized controlled study with 206 cardiac patients, assessing amyotrophic lateral sclerosis and tremor. Results: better quality of life measures. Implications: potential therapeutic benefits.","synaptic stories: prostate cancer and astrocytoma research question: how does aspirin affect diabetes through cerebral mechanisms? methods: randomized controlled study with 206 cardiac patients, assessing amyotrophic lateral sclerosis and tremor. results: better quality of life measures. implications: potential therapeutic benefits.",0,0,1,0
biopsy reveals Alzheimer's disease secrets,"Background: stroke affects elderly patients worldwide, particularly involving substantia nigra and tics. Methods: We conducted a retrospective study to evaluate beta-blockers in 454 patients, examining glioma parameters. Results: improved patient outcomes. Conclusion: patient care improvement.",cardiovascular|neurological,"biopsy reveals Alzheimer's disease secrets Background: stroke affects elderly patients worldwide, particularly involving substantia nigra and tics. Methods: We conducted a retrospective study to evaluate beta-blockers in 454 patients, examining glioma parameters. Results: improved patient outcomes. Conclusion: patient care improvement.","biopsy reveals alzheimer's disease secrets background: stroke affects elderly patients worldwide, particularly involving substantia nigra and tics. methods: we conducted a retrospective study to evaluate beta-blockers in 454 patients, examining glioma parameters. results: improved patient outcomes. conclusion: patient care improvement.",1,0,1,0
Cutaneous leucocytoclastic vasculitis associated with oxacillin.,"A 67-year-old man who was treated with oxacillin for one week because of Staphylococcus aureus bacteremia, developed renal failure and diffuse, symmetric, palpable purpuric lesions on his feet. Necrotic blisters were noted on his fingers. Skin biopsies showed findings diagnostic of leucocytoclastic vasculitis. Oxacillin was discontinued and patient was treated with corticosteroids. The rash disappeared after three weeks and renal function returned to normal. Leucocytoclastic vasculitis presents as palpable purpura of the lower extremities often accompanied by abdominal pain, arthralgia, and renal involvement. Etiologic factors or associated disorders include infections, medications, collagen vascular disease and neoplasia. However, in half of the cases no etiologic factor is identified. Usually it is a self-limited disorder, but corticosteroid therapy may be needed in life-threatening cases since early treatment with corticosteroids in severe cases can prevent complications. Oxacillin should be included among the drugs that can cause leucocytoclastic vasculitis.",hepatorenal,"Cutaneous leucocytoclastic vasculitis associated with oxacillin. A 67-year-old man who was treated with oxacillin for one week because of Staphylococcus aureus bacteremia, developed renal failure and diffuse, symmetric, palpable purpuric lesions on his feet. Necrotic blisters were noted on his fingers. Skin biopsies showed findings diagnostic of leucocytoclastic vasculitis. Oxacillin was discontinued and patient was treated with corticosteroids. The rash disappeared after three weeks and renal function returned to normal. Leucocytoclastic vasculitis presents as palpable purpura of the lower extremities often accompanied by abdominal pain, arthralgia, and renal involvement. Etiologic factors or associated disorders include infections, medications, collagen vascular disease and neoplasia. However, in half of the cases no etiologic factor is identified. Usually it is a self-limited disorder, but corticosteroid therapy may be needed in life-threatening cases since early treatment with corticosteroids in severe cases can prevent complications. Oxacillin should be included among the drugs that can cause leucocytoclastic vasculitis.","cutaneous leucocytoclastic vasculitis associated with oxacillin. a 67-year-old man who was treated with oxacillin for one week because of staphylococcus aureus bacteremia, developed renal failure and diffuse, symmetric, palpable purpuric lesions on his feet. necrotic blisters were noted on his fingers. skin biopsies showed findings diagnostic of leucocytoclastic vasculitis. oxacillin was discontinued and patient was treated with corticosteroids. the rash disappeared after three weeks and renal function returned to normal. leucocytoclastic vasculitis presents as palpable purpura of the lower extremities often accompanied by abdominal pain, arthralgia, and renal involvement. etiologic factors or associated disorders include infections, medications, collagen vascular disease and neoplasia. however, in half of the cases no etiologic factor is identified. usually it is a self-limited disorder, but corticosteroid therapy may be needed in life-threatening cases since early treatment with corticosteroids in severe cases can prevent complications. oxacillin should be included among the drugs that can cause leucocytoclastic vasculitis.",0,1,0,0
